Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-000526,39354949262,12/24/2022 6:35:00 AM,01/02/2023 1:15:00 AM,01/01/2023 1:15:28 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,44XX BLOCK OF SW 101ST ST,-122.3897673,47.512961
2023-000382,39614161453,01/01/2023 9:37:00 AM,,01/01/2023 1:50:42 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,CLAREMONT/RAINIER VISTA,,0,0
2022-927312,39330562778,12/29/2022 10:35:00 PM,12/29/2022 10:41:00 PM,01/01/2023 2:12:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.3317002,47.62024125
2022-927315,39330771216,12/19/2022 4:20:00 PM,12/19/2022 5:20:00 PM,01/01/2023 3:04:18 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4XX BLOCK OF BROADWAY CT,-122.3207492,47.60571969
2022-927317,39330772818,12/30/2022 5:00:00 AM,12/30/2022 8:20:00 AM,01/01/2023 3:04:38 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R1,MID BEACON HILL,14XX BLOCK OF S DAKOTA ST,-122.3140746,47.56724001
2022-927318,39330773299,12/29/2022 11:00:00 PM,12/30/2022 7:30:00 AM,01/01/2023 3:04:43 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,WALLINGFORD,44XX BLOCK OF THACKERAY PL NE,-122.3261872,47.66078355
2022-927320,39330774049,12/29/2022 7:30:00 PM,12/29/2022 8:00:00 PM,01/01/2023 3:04:53 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,39XX BLOCK OF SW ALASKA ST,-122.3821296,47.56105512
2022-927322,39330777170,12/30/2022 3:40:00 AM,12/30/2022 6:40:00 AM,01/01/2023 3:05:14 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C3,MADISON PARK,12XX BLOCK OF 37TH AVE E,-122.2854681,47.63026061
2022-927324,39330778472,12/27/2022 6:40:00 PM,12/27/2022 10:30:00 PM,01/01/2023 3:05:26 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF 1ST AVE N,-122.3554483,47.6191851
2022-927325,39330779247,12/16/2022 1:00:00 AM,12/16/2022 9:00:00 AM,01/01/2023 3:05:34 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W3,MORGAN,45XX BLOCK OF SW HOLLY ST,-122.3905194,47.54312876
2022-927326,39330779619,12/30/2022 11:40:00 AM,12/30/2022 11:40:00 AM,01/01/2023 3:05:41 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,ALASKA JUNCTION,48XX BLOCK OF CALIFORNIA AVE SW,-122.3868564,47.55841117
2022-927327,39330779841,11/18/2022 5:00:00 AM,11/18/2022 8:00:00 PM,01/01/2023 3:05:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K2,PIONEER SQUARE,5XX BLOCK OF 1ST AVE S,-122.3341912,47.59607621
2022-927328,39330780267,12/23/2022 5:00:00 PM,12/23/2022 10:00:00 PM,01/01/2023 3:05:54 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K1,DOWNTOWN COMMERCIAL,10XX BLOCK OF 4TH AVE,-122.3332356,47.60644458
